"first.author","title","species","sex","age","lat","lon","study.location","study.date","tag.type","tag.mass","body.mass","forearm","body.mass.recap","date.retrieval","time.retieval","duration","landscape","emergence.firstnight","emergence.secondnight","em.both","flight.duration.firstnight","flight.duration.secondnight","fd.both","travelled.distance.firstnight","max.distance.roost.firstnight","travelled.distance.secondnight","max.distance.roost.secondnight","repository","ID.bat.tag","comment","scheduled_timeinterval_s","body.condition","rel.tag.mass","type"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,28.5,53.8,NA,"","",NA,"farmland",6,-48,6,17,33,17,3,1.6,9,1.8,"movebank, 1285310541","2337","",8,0.529739776951673,4.56140350877193,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,30,54.5,NA,"","",NA,"farmland",13,-47,13,57,50,57,12,2.3,10,3.6,"movebank, 1285310543","2342","",8,0.55045871559633,4.33333333333333,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,34,54.6,NA,"","",NA,"farmland",32,3,32,45,17,45,7,1.6,5,2.5,"movebank, 1285310544","2344","",8,0.622710622710623,3.82352941176471,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,29.5,55,NA,"","",NA,"farmland",10,-49,10,59,27,59,13,1.7,10,6.5,"movebank, 1285310545","2345","",8,0.536363636363636,4.40677966101695,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,30,54.7,NA,"","",NA,"farmland",40,-25,40,25,48,25,4,1.7,9,1.9,"movebank, 1285310547","2347","",8,0.548446069469835,4.33333333333333,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,32.5,54.3,NA,"","",NA,"farmland",11,-49,11,77,94,77,19,3.6,23,4.6,"movebank, 1285310548","2348","",8,0.598526703499079,4,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,30.5,55.4,NA,"","",NA,"farmland",53,-29,53,18,27,18,3,1.5,3,1.3,"movebank, 1285310549","2349","",8,0.550541516245487,4.26229508196721,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,30,54.8,NA,"","",NA,"farmland",16,NA,16,26,NA,26,3,1.4,NA,NA,"movebank, 1285310550","2353","",8,0.547445255474453,4.33333333333333,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,30,53.7,NA,"","",NA,"farmland",39,NA,39,26,NA,26,8,2.8,NA,NA,"movebank, 1285310553","2357","",8,0.558659217877095,4.33333333333333,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,31,53,NA,"","",NA,"farmland",58,-18,58,17,52,17,5,1.9,13,2.8,"movebank, 1285310554","2358","",8,0.584905660377358,4.19354838709677,"< 5 %"
