first.author;title;species;sex;age;lat;lon;study.location;study.date;tag.type;tag.mass;body.mass;forearm;body.mass.recap;date.retrieval;time.retieval;duration;landscape ;emergence.firstnight;emergence.secondnight;em.both;flight.duration.firstnight;flight.duration.secondnight;fd.both;travelled.distance.firstnight;max.distance.roost.firstnight;travelled.distance.secondnight;max.distance.roost.secondnight;health.problems;repository;ID.bat/tag;comment;scheduled_timeinterval_s
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;26.5;53.8;NA;;;NA;farmland;-5;NA;-5;56;NA;56;14;1.9;NA;NA;no;movebank, 1285310563;2375;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;31;56.1;NA;;;NA;farmland;34;NA;34;33;NA;33;4;1;NA;NA;no;movebank, 1285310536;2328;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;29;55.3;NA;;;NA;farmland;39;NA;39;21;NA;21;6;2.1;NA;NA;no;movebank, 1285310537;2329;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;29;54;NA;;;NA;farmland;30;-32;30;32;49;32;5;1.5;13;2.8;no;movebank, 1285310540;2332;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;28.5;53.8;NA;;;NA;farmland;6;-48;6;17;33;17;3;1.6;9;1.8;no;movebank, 1285310541;2337;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;30;54.5;NA;;;NA;farmland;13;-47;13;57;50;57;12;2.3;10;3.6;no;movebank, 1285310543;2342;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;34;54.6;NA;;;NA;farmland;32;3;32;45;17;45;7;1.6;5;2.5;no;movebank, 1285310544;2344;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;29.5;55;NA;;;NA;farmland;10;-49;10;59;27;59;13;1.7;10;6.5;no;movebank, 1285310545;2345;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;30;54.7;NA;;;NA;farmland;40;-25;40;25;48;25;4;1.7;9;1.9;no;movebank, 1285310547;2347;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;32.5;54.3;NA;;;NA;farmland;11;-49;11;77;94;77;19;3.6;23;4.6;no;movebank, 1285310548;2348;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;30.5;55.4;NA;;;NA;farmland;53;-29;53;18;27;18;3;1.5;3;1.3;no;movebank, 1285310549;2349;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;30;54.8;NA;;;NA;farmland;16;NA;16;26;NA;26;3;1.4;NA;NA;no;movebank, 1285310550;2353;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;30;53.7;NA;;;NA;farmland;39;NA;39;26;NA;26;8;2.8;NA;NA;no;movebank, 1285310553;2357;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;31;53;NA;;;NA;farmland;58;-18;58;17;52;17;5;1.9;13;2.8;no;movebank, 1285310554;2358;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;30;57.1;NA;;;NA;farmland;54;36;54;30;11;30;8;4.6;4;1.2;no;movebank, 1285310555;2359;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;32.5;54.8;NA;;;NA;farmland;30;NA;30;37;NA;37;6;1.3;NA;NA;no;movebank, 1285310558;2367;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;23.07.2020;ATLAS, TAU;1.3;33;57.5;NA;;;NA;farmland;30;NA;30;37;NA;37;11;4.5;NA;NA;no;movebank, 1285310561;2372;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2018;ATLAS, TAU;1.35;32.5;55.5;NA;;;NA;farmland;17;NA;17;58;NA;58;12;2.5;NA;NA;no;movebank, 1285310497;2026;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2018;ATLAS, TAU;1.35;35;55;NA;;;NA;farmland;21;18;21;90;28;90;17;2.8;7;4.8;no;movebank, 1285310498;2027;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2018;ATLAS, TAU;1.35;32;54.3;NA;;;NA;farmland;19;21;19;50;16;50;12;3.1;6;2.9;no;movebank, 1285310499;2032;;8
